iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
030950101,03095,Cusset,Centre Historique,True
030950102,03095,Cusset,Montbeton-Les Jonchères,True
030950103,03095,Cusset,Presles-Puybesseau,True
030950105,03095,Cusset,Champcourt-Zone Industrielle,True
030950106,03095,Cusset,Zone Verte,True
030950111,03095,Cusset,Boulaires-Graves-Chambon Étendu,True
031010101,03101,Domérat,Banlieue,True
031010102,03101,Domérat,Centre,True
031010103,03101,Domérat,Campagne,True
031180101,03118,Gannat,Centre-Est,True
031180102,03118,Gannat,Centre-Ouest et Extérieurs,True
031850101,03185,Montluçon,Cité Bretonnie-Châtelet-Favières-Conches,True
031850102,03185,Montluçon,Diénat-Forges,True
031850103,03185,Montluçon,Chantoiseau-Faucheroux,True
031850104,03185,Montluçon,Fours à Chaux,True
031850105,03185,Montluçon,Montcourtais,True
031850106,03185,Montluçon,Ville Gozet,True
031850107,03185,Montluçon,Zone Industrielle Blanzat,False
031850108,03185,Montluçon,Montgacher-Cordeliers,True
031850109,03185,Montluçon,Châtelard-la Verne-Nerdre,False
031850110,03185,Montluçon,Rimard-Marignon,True
031850111,03185,Montluçon,Saint-Jean,True
031850112,03185,Montluçon,Les Iles-Buffon,True
031850113,03185,Montluçon,Fontbouillant,True
031850114,03185,Montluçon,La Caserne-Les Guineberts,True
031850115,03185,Montluçon,Bien Assis,True
031850116,03185,Montluçon,Marais-Villars,True
031850117,03185,Montluçon,Viviani-Dunlop,True
031900101,03190,Moulins,Centre Historique,True
031900102,03190,Moulins,Centre Moderne,True
031900103,03190,Moulins,Les Gâteaux,True
031900104,03190,Moulins,Quartier Nord,True
031900105,03190,Moulins,Decize Bourgogne,True
031900106,03190,Moulins,Lyon Gare,True
031900107,03190,Moulins,Quartier Sud Zone 1,True
031900108,03190,Moulins,Quartier Sud Zone 2,True
031900109,03190,Moulins,La Madeleine,True
032540101,03254,Saint-Pourçain-sur-Sioule,Centre-Ouest,True
032540102,03254,Saint-Pourçain-sur-Sioule,Est,True
033100101,03310,Vichy,Hôtel de Ville,True
033100102,03310,Vichy,Marché,True
033100103,03310,Vichy,Denière Les Romains,True
033100104,03310,Vichy,Les Garets-Bellevue,True
033100105,03310,Vichy,France et Rosières,True
033100106,03310,Vichy,Thermal-Vieux Vican,True
033100107,03310,Vichy,Les Bains-République,True
033100108,03310,Vichy,Jeanne d'Arc-Stade,True
033100109,03310,Vichy,Les Ailes,True
033100110,03310,Vichy,Beauséjour-Les Graves-Les Bartins,True
033210101,03321,Yzeure,Centre Ville,True
033210102,03321,Yzeure,Bellevue-Les Ozières,True
033210103,03321,Yzeure,Bataillots,True
033210104,03321,Yzeure,Saint-Bonnet,True
033210105,03321,Yzeure,Zone Verte,True
033210106,03321,Yzeure,Zone Industrielle,False
040490101,04049,Château-Arnoux-Saint-Auban,Château Arnoux,True
040490102,04049,Château-Arnoux-Saint-Auban,Saint-Auban,True
040700101,04070,Digne-les-Bains,Les Arches,True
040700102,04070,Digne-les-Bains,Les Dourbes,True
040700103,04070,Digne-les-Bains,Périphérie Ouest,True
040700104,04070,Digne-les-Bains,La Sèbe,True
040700105,04070,Digne-les-Bains,Route de Marseille,True
040700106,04070,Digne-les-Bains,Route de Nice,True
040700107,04070,Digne-les-Bains,Centre Ville,True
040700108,04070,Digne-les-Bains,Ville Nord,True
040700109,04070,Digne-les-Bains,Le Cousson,False
041120101,04112,Manosque,Manosque Intra-Muros,True
041120102,04112,Manosque,La Burlière Luquèce,True
041120103,04112,Manosque,Temps Perdu-La Trinque,True
041120104,04112,Manosque,Les Chauvinets,True
041120105,04112,Manosque,Séminaire Colombier,True
