iris_id,commune_name,place_in_commune,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_revenus_patrimoine_pct,part_prestations_sociales_pct,part_prestations_familiales_pct,part_minima_sociaux_pct,part_prestations_logement_pct,part_impots_pct
352380402,Rennes,Cimetière du Nord,14.0,17810.0,24880.0,33260.0,12570.0,44610.0,88.2,17.7,8.0,5.4,1.6,2.5,1.3,-19.3
352380501,Rennes,Emmanuel Mounier,45.0,10880.0,14680.0,22520.0,8290.0,34690.0,67.9,20.8,5.1,19.1,3.5,11.3,4.3,-12.9
352380502,Rennes,Brno,65.0,9270.0,12310.0,15380.0,7720.0,19390.0,51.2,14.7,0.9,38.9,8.7,21.5,8.7,-5.7
352380503,Rennes,Le Gast Ouest,29.0,13440.0,19040.0,25530.0,9480.0,32340.0,63.0,33.6,4.2,11.8,3.1,6.0,2.7,-12.6
352380504,Rennes,Le Gast Est,32.0,12580.0,17330.0,24950.0,9120.0,33560.0,68.7,24.5,5.5,14.3,3.0,7.8,3.5,-13.0
352380505,Rennes,La Motte Brûlon,13.0,19400.0,26100.0,34060.0,12930.0,45440.0,86.1,21.0,7.4,4.8,1.0,2.4,1.4,-19.3
352380506,Rennes,Morbihan Ouest,7.0,21980.0,28730.0,36270.0,15940.0,45730.0,66.1,42.5,6.3,3.3,1.0,1.5,0.8,-18.2
352380507,Rennes,Morbihan Est,19.0,15090.0,22430.0,30820.0,10950.0,40330.0,70.9,30.7,5.9,8.1,2.0,4.3,1.8,-15.6
352380508,Rennes,Émile Bernard,20.0,15050.0,20620.0,27640.0,10920.0,33790.0,76.2,23.8,3.4,10.4,2.7,5.3,2.4,-13.8
352380509,Rennes,Saint-Laurent,11.0,19220.0,26050.0,33800.0,13510.0,43390.0,67.8,37.9,6.6,4.9,1.4,2.4,1.1,-17.2
352380601,Rennes,Parc de Maurepas,19.0,15640.0,24530.0,34320.0,11080.0,48140.0,78.0,25.1,8.3,7.3,1.7,3.8,1.8,-18.7
352380602,Rennes,Michelet,10.0,20240.0,28420.0,40430.0,13880.0,54700.0,89.4,18.4,11.3,3.5,1.1,1.3,1.1,-22.6
352380603,Rennes,Le Gallet-Les Longs Champs Nord,21.0,15040.0,21310.0,28490.0,10140.0,35970.0,84.5,18.2,5.0,8.2,1.7,3.9,2.6,-15.9
352380604,Rennes,Les Longs Champs Sud,18.0,15390.0,22680.0,32090.0,10890.0,40530.0,71.3,31.0,6.2,7.9,1.5,4.4,2.0,-16.4
