insee_commune_id,commune_name_upper,commune_name,has_crime_data,has_revenu_data
01243,MESSIMY SUR SAONE,Messimy-sur-Saône,True,False
01244,MEXIMIEUX,Meximieux,True,True
01245,BOHAS MEYRIAT RIGNAT,Bohas-Meyriat-Rignat,False,False
01246,MEZERIAT,Mézériat,True,False
01247,MIJOUX,Mijoux,False,False
01248,MIONNAY,Mionnay,True,False
01249,MIRIBEL,Miribel,True,True
01250,MISERIEUX,Misérieux,True,False
01252,MOGNENEINS,Mogneneins,False,False
01254,MONTAGNAT,Montagnat,True,False
01255,MONTAGNIEU,Montagnieu,False,False
01257,MONTANGES,Montanges,False,False
01258,MONTCEAUX,Montceaux,False,False
01259,MONTCET,Montcet,False,False
01260,MONTELLIER,Montellier,False,False
01261,MONTHIEUX,Monthieux,False,False
01262,MONTLUEL,Montluel,True,True
01263,MONTMERLE SUR SAONE,Montmerle-sur-Saône,True,False
01264,MONTRACOL,Montracol,False,False
01265,MONTREAL LA CLUSE,Montréal-la-Cluse,True,False
01266,MONTREVEL EN BRESSE,Montrevel-en-Bresse,True,False
01267,NURIEUX VOLOGNAT,Nurieux-Volognat,True,False
01268,MURS ET GELIGNIEUX,Murs-et-Gélignieux,False,False
01269,NANTUA,Nantua,True,False
01272,NEUVILLE LES DAMES,Neuville-les-Dames,True,False
01273,NEUVILLE SUR AIN,Neuville-sur-Ain,True,False
01274,NEYROLLES,Neyrolles,True,False
01275,NEYRON,Neyron,True,False
01276,NIEVROZ,Niévroz,True,False
01277,NIVOLLET MONTGRIFFON,Nivollet-Montgriffon,False,False
01279,ONCIEU,Oncieu,False,False
01280,ORDONNAZ,Ordonnaz,False,False
01281,ORNEX,Ornex,True,False
01282,OUTRIAZ,Outriaz,False,False
01283,OYONNAX,Oyonnax,True,True
01284,OZAN,Ozan,False,False
01285,PARCIEUX,Parcieux,True,False
01286,PARVES ET NATTAGES,Parves et Nattages,False,False
01288,PERON,Péron,True,False
01289,PERONNAS,Péronnas,True,True
01290,PEROUGES,Pérouges,True,False
01291,PERREX,Perrex,False,False
01293,PEYRIAT,Peyriat,False,False
01294,PEYRIEU,Peyrieu,False,False
01295,PEYZIEUX SUR SAONE,Peyzieux-sur-Saône,False,False
01296,PIRAJOUX,Pirajoux,False,False
01297,PIZAY,Pizay,False,False
01298,PLAGNE,Plagne,False,False
01299,PLANTAY,Plantay,False,False
01301,POLLIAT,Polliat,True,False
01302,POLLIEU,Pollieu,False,False
01303,PONCIN,Poncin,True,False
01304,PONT D AIN,Pont-d'Ain,True,False
01305,PONT DE VAUX,Pont-de-Vaux,True,False
01306,PONT DE VEYLE,Pont-de-Veyle,True,False
01307,PORT,Port,True,False
01308,POUGNY,Pougny,False,False
01309,POUILLAT,Pouillat,False,False
01310,PREMEYZEL,Prémeyzel,False,False
01311,PREMILLIEU,Prémillieu,False,False
01313,PREVESSIN MOENS,Prévessin-Moëns,True,False
01314,PRIAY,Priay,True,False
01317,RAMASSE,Ramasse,False,False
01318,RANCE,Rancé,False,False
01319,RELEVANT,Relevant,False,False
01320,REPLONGES,Replonges,True,False
01321,REVONNAS,Revonnas,True,False
01322,REYRIEUX,Reyrieux,True,False
01323,REYSSOUZE,Reyssouze,False,False
01325,RIGNIEUX LE FRANC,Rignieux-le-Franc,True,False
01328,ROMANS,Romans,False,False
01329,ROSSILLON,Rossillon,False,False
01331,SAINT ALBAN,Saint-Alban,False,False
01332,SAINT ANDRE DE BAGE,Saint-André-de-Bâgé,True,False
01333,SAINT ANDRE DE CORCY,Saint-André-de-Corcy,True,False
01334,SAINT ANDRE D HUIRIAT,Saint-André-d'Huiriat,False,False
01335,SAINT ANDRE LE BOUCHOUX,Saint-André-le-Bouchoux,False,False
01336,SAINT ANDRE SUR VIEUX JONC,Saint-André-sur-Vieux-Jonc,True,False
01337,SAINT BENIGNE,Saint-Bénigne,True,False
01338,GROSLEE SAINT BENOIT,Groslée-Saint-Benoit,True,False
01339,SAINT BERNARD,Saint-Bernard,True,False
01342,SAINTE CROIX,Sainte-Croix,False,False
01343,SAINT CYR SUR MENTHON,Saint-Cyr-sur-Menthon,True,False
01344,SAINT DENIS LES BOURG,Saint-Denis-lès-Bourg,True,False
01345,SAINT DENIS EN BUGEY,Saint-Denis-en-Bugey,True,False
01346,SAINT DIDIER D AUSSIAT,Saint-Didier-d'Aussiat,False,False
01347,SAINT DIDIER DE FORMANS,Saint-Didier-de-Formans,True,False
01348,SAINT DIDIER SUR CHALARONNE,Saint-Didier-sur-Chalaronne,True,False
01349,SAINT ELOI,Saint-Éloi,False,False
01350,SAINT ETIENNE DU BOIS,Saint-Étienne-du-Bois,True,False
01351,SAINT ETIENNE SUR CHALARONNE,Saint-Étienne-sur-Chalaronne,True,False
01352,SAINT ETIENNE SUR REYSSOUZE,Saint-Étienne-sur-Reyssouze,False,False
01353,SAINTE EUPHEMIE,Sainte-Euphémie,True,False
01354,SAINT GENIS POUILLY,Saint-Genis-Pouilly,True,True
01355,SAINT GENIS SUR MENTHON,Saint-Genis-sur-Menthon,False,False
01356,SAINT GEORGES SUR RENON,Saint-Georges-sur-Renon,False,False
01357,SAINT GERMAIN DE JOUX,Saint-Germain-de-Joux,True,False
01358,SAINT GERMAIN LES PAROISSES,Saint-Germain-les-Paroisses,False,False
01359,SAINT GERMAIN SUR RENON,Saint-Germain-sur-Renon,False,False
01360,SAINT JEAN DE GONVILLE,Saint-Jean-de-Gonville,True,False
01361,SAINT JEAN DE NIOST,Saint-Jean-de-Niost,True,False
01362,SAINT JEAN DE THURIGNEUX,Saint-Jean-de-Thurigneux,True,False
01363,SAINT JEAN LE VIEUX,Saint-Jean-le-Vieux,True,False
01364,SAINT JEAN SUR REYSSOUZE,Saint-Jean-sur-Reyssouze,False,False
01365,SAINT JEAN SUR VEYLE,Saint-Jean-sur-Veyle,False,False
01366,SAINTE JULIE,Sainte-Julie,True,False
01367,SAINT JULIEN SUR REYSSOUZE,Saint-Julien-sur-Reyssouze,False,False
01368,SAINT JULIEN SUR VEYLE,Saint-Julien-sur-Veyle,False,False
01369,SAINT JUST,Saint-Just,True,False
01370,SAINT LAURENT SUR SAONE,Saint-Laurent-sur-Saône,True,False
01371,SAINT MARCEL,Saint-Marcel,True,False
01372,SAINT MARTIN DE BAVEL,Saint-Martin-de-Bavel,False,False
01373,SAINT MARTIN DU FRENE,Saint-Martin-du-Frêne,True,False
01374,SAINT MARTIN DU MONT,Saint-Martin-du-Mont,True,False
01375,SAINT MARTIN LE CHATEL,Saint-Martin-le-Châtel,False,False
01376,SAINT MAURICE DE BEYNOST,Saint-Maurice-de-Beynost,True,False
01378,SAINT MAURICE DE GOURDANS,Saint-Maurice-de-Gourdans,True,False
01379,SAINT MAURICE DE REMENS,Saint-Maurice-de-Rémens,True,False
01380,SAINT NIZIER LE BOUCHOUX,Saint-Nizier-le-Bouchoux,False,False
01381,SAINT NIZIER LE DESERT,Saint-Nizier-le-Désert,False,False
01382,SAINTE OLIVE,Sainte-Olive,False,False
01383,SAINT PAUL DE VARAX,Saint-Paul-de-Varax,True,False
01384,SAINT RAMBERT EN BUGEY,Saint-Rambert-en-Bugey,True,False
01385,SAINT REMY,Saint-Rémy,False,False
01386,SAINT SORLIN EN BUGEY,Saint-Sorlin-en-Bugey,True,False
01387,SAINT SULPICE,Saint-Sulpice,False,False
01388,SAINT TRIVIER DE COURTES,Saint-Trivier-de-Courtes,True,False
01389,SAINT TRIVIER SUR MOIGNANS,Saint-Trivier-sur-Moignans,True,False
01390,SAINT VULBAS,Saint-Vulbas,True,False
01391,SALAVRE,Salavre,False,False
01392,SAMOGNAT,Samognat,False,False
01393,SANDRANS,Sandrans,True,False
01396,SAULT BRENAZ,Sault-Brénaz,True,False
01397,SAUVERNY,Sauverny,True,False
01398,SAVIGNEUX,Savigneux,True,False
01399,SEGNY,Ségny,True,False
01400,SEILLONNAZ,Seillonnaz,False,False
01401,SERGY,Sergy,True,False
01402,SERMOYER,Sermoyer,False,False
01403,SERRIERES DE BRIORD,Serrières-de-Briord,True,False
01404,SERRIERES SUR AIN,Serrières-sur-Ain,False,False
01405,SERVAS,Servas,True,False
01406,SERVIGNAT,Servignat,False,False
01407,SEYSSEL,Seyssel,True,False
01408,SIMANDRE SUR SURAN,Simandre-sur-Suran,True,False
01410,SONTHONNAX LA MONTAGNE,Sonthonnax-la-Montagne,False,False
01411,SOUCLIN,Souclin,False,False
01412,SULIGNAT,Sulignat,False,False
01415,TALISSIEU,Talissieu,False,False
01416,TENAY,Tenay,True,False
01418,THIL,Thil,True,False
01419,THOIRY,Thoiry,True,False
01420,THOISSEY,Thoissey,True,False
01421,TORCIEU,Torcieu,False,False
01422,TOSSIAT,Tossiat,True,False
01423,TOUSSIEUX,Toussieux,True,False
01424,TRAMOYES,Tramoyes,True,False
01425,TRANCLIERE,Tranclière,False,False
01426,VAL REVERMONT,Val-Revermont,True,False
01427,TREVOUX,Trévoux,True,True
01428,VALEINS,Valeins,False,False
01429,VANDEINS,Vandeins,False,False
01430,VARAMBON,Varambon,False,False
01431,VAUX EN BUGEY,Vaux-en-Bugey,True,False
01432,VERJON,Verjon,False,False
01433,VERNOUX,Vernoux,False,False
01434,VERSAILLEUX,Versailleux,False,False
01435,VERSONNEX,Versonnex,True,False
01436,VESANCY,Vesancy,False,False
01437,VESCOURS,Vescours,False,False
01439,VESINES,Vésines,False,False
01441,VIEU D IZENAVE,Vieu-d'Izenave,False,False
01443,VILLARS LES DOMBES,Villars-les-Dombes,True,False
01444,VILLEBOIS,Villebois,True,False
01445,VILLEMOTIER,Villemotier,False,False
01446,VILLENEUVE,Villeneuve,True,False
01447,VILLEREVERSURE,Villereversure,True,False
01448,VILLES,Villes,False,False
01449,VILLETTE SUR AIN,Villette-sur-Ain,False,False
01450,VILLIEU LOYES MOLLON,Villieu-Loyes-Mollon,True,False
01451,VIRIAT,Viriat,True,True
01452,VIRIEU LE GRAND,Virieu-le-Grand,True,False
01453,ARVIERE EN VALROMEY,Arvière-en-Valromey,False,False
01454,VIRIGNIN,Virignin,True,False
01456,VONGNES,Vongnes,False,False
01457,VONNAS,Vonnas,True,False
02001,ABBECOURT,Abbécourt,True,False
02002,ACHERY,Achery,False,False
02003,ACY,Acy,False,False
02004,AGNICOURT ET SECHELLES,Agnicourt-et-Séchelles,False,False
02005,AGUILCOURT,Aguilcourt,False,False
02006,AISONVILLE ET BERNOVILLE,Aisonville-et-Bernoville,False,False
02007,AIZELLES,Aizelles,False,False
02008,AIZY JOUY,Aizy-Jouy,False,False
02009,ALAINCOURT,Alaincourt,True,False
02010,ALLEMANT,Allemant,False,False
02011,AMBLENY,Ambleny,True,False
02012,AMBRIEF,Ambrief,False,False
02013,AMIFONTAINE,Amifontaine,False,False
02014,AMIGNY ROUY,Amigny-Rouy,False,False
02015,ANCIENVILLE,Ancienville,False,False
02016,ANDELAIN,Andelain,False,False
02017,ANGUILCOURT LE SART,Anguilcourt-le-Sart,False,False
02018,ANIZY LE GRAND,Anizy-le-Grand,True,False
02019,ANNOIS,Annois,False,False
02020,ANY MARTIN RIEUX,Any-Martin-Rieux,False,False
02021,ARCHON,Archon,False,False
02022,ARCY SAINTE RESTITUE,Arcy-Sainte-Restitue,False,False
02023,ARMENTIERES SUR OURCQ,Armentières-sur-Ourcq,False,False
02024,ARRANCY,Arrancy,False,False
02025,ARTEMPS,Artemps,False,False
02027,ASSIS SUR SERRE,Assis-sur-Serre,False,False
02028,ATHIES SOUS LAON,Athies-sous-Laon,True,False
02029,ATTILLY,Attilly,False,False
02030,AUBENCHEUL AUX BOIS,Aubencheul-aux-Bois,False,False
02031,AUBENTON,Aubenton,False,False
02032,AUBIGNY AUX KAISNES,Aubigny-aux-Kaisnes,False,False
02033,AUBIGNY EN LAONNOIS,Aubigny-en-Laonnois,False,False
02034,AUDIGNICOURT,Audignicourt,False,False
02035,AUDIGNY,Audigny,False,False
02036,AUGY,Augy,False,False
